4;4;52443876;132780
8;4;60325549;140696
16;4;79284361;105889
24;4;90716109;79862
32;4;103356609;72315
40;4;112663783;61145
48;4;122720459;56440
56;4;131439284;51738
64;4;144737301;48927
128;4;205652607;37400
4;8;63490390;126330
8;8;73826833;108755
16;8;89982331;81965
24;8;105003135;70094
32;8;117780018;61256
40;8;127151082;55216
48;8;135970593;50806
56;8;147800390;47450
64;8;152333139;44842
128;8;208682894;35233
4;16;80846405;90874
8;16;89564229;75485
16;16;102812296;63732
24;16;116692535;57580
32;16;128080058;51943
40;16;145766272;48811
48;16;150874495;46269
56;16;215461455;43348
64;16;166923013;42415
128;16;218943922;33440
4;24;92847372;70758
8;24;100069890;63926
16;24;115180726;55342
24;24;134665538;51758
32;24;138093051;48207
40;24;153855774;46637
48;24;158129627;44212
56;24;169737962;41825
64;24;176353974;40303
128;24;239095899;32631
4;32;116054785;64671
8;32;117765529;57681
16;32;126539533;50586
24;32;136429674;48093
32;32;143673800;45322
40;32;152213247;43462
48;32;171541845;42082
56;32;174376822;41365
64;32;185889104;40732
128;32;231083649;31205
4;40;120555054;61071
8;40;123107141;52677
16;40;132096366;49527
24;40;143219634;46002
32;40;151434500;43927
40;40;167351926;42172
48;40;175540843;41494
56;40;178156976;39759
64;40;188232375;38130
128;40;234865706;30152
4;48;133146000;56073
8;48;133222055;49345
16;48;148286830;47655
24;48;179334171;43624
32;48;163834431;42227
40;48;174864325;41219
48;48;182294465;40560
56;48;185518801;37067
64;48;193415107;36303
128;48;241888365;29575
4;56;136718476;51278
8;56;141399524;48114
16;56;149163936;44352
24;56;158179976;42492
32;56;165658476;40435
40;56;177275419;39339
48;56;189934850;38922
56;56;195257274;36659
64;56;204205825;35819
128;56;251782842;29160
4;64;149704846;48279
8;64;156125454;45133
16;64;163651987;43452
24;64;176804463;40958
32;64;175255741;39141
40;64;191038417;38150
48;64;196207220;36741
56;64;202822870;35706
64;64;215192248;34884
128;64;248906017;28831
4;128;192105618;35067
8;128;199996948;33973
16;128;217435729;32264
24;128;228621632;31347
32;128;218084929;30543
40;128;230969434;29662
48;128;231246058;29174
56;128;238157505;28792
64;128;241940595;28242
128;128;281972377;25401
4;0;36814700;183237
8;0;51906541;148390
16;0;74612437;113145
24;0;92963005;92887
32;0;107703722;80640
40;0;121829872;72259
48;0;135863126;66683
56;0;142562218;61250
64;0;151000957;56685
128;0;215706537;42394
0;4;36490851;184653
0;8;51792564;169402
0;16;79065312;144044
0;24;98594510;115105
0;32;106851508;88652
0;40;117096357;80765
0;48;134369276;75585
0;56;141016494;70307
0;64;145907828;66277
0;128;212212147;45325
